Date,Open,High,Low,Close,Adj Close,Volume
7/12/2017,156.490005,159.160004,156.199997,158.899994,158.899994,22739400
7/13/2017,158.740005,159.779999,158.419998,159.259995,159.259995,13929200
7/14/2017,160.130005,160.320007,159.330002,159.970001,159.970001,16371200
7/17/2017,160.25,160.779999,158.809998,159.729996,159.729996,12858800
7/18/2017,159.660004,163.729996,159.419998,162.860001,162.860001,23722900
7/19/2017,163.589996,165.699997,163.169998,164.139999,164.139999,26273600
7/20/2017,164.800003,165,162.809998,164.529999,164.529999,18523100
7/21/2017,164.160004,165.050003,163.75,164.429993,164.429993,14744000
7/24/2017,164.639999,166.169998,164.309998,166,166,17367000
7/25/2017,165.009995,165.539993,163.860001,165.279999,165.279999,15383200
7/26/2017,166.009995,166.009995,164.100006,165.610001,165.610001,35236900
7/27/2017,174.699997,175.490005,167.5,170.440002,170.440002,68910700
7/28/2017,169.070007,173.429993,169.050003,172.449997,172.449997,24557600
7/31/2017,172,172.720001,168.550003,169.25,169.25,25478900
8/1/2017,169.820007,170.470001,169.050003,169.860001,169.860001,14385000
8/2/2017,170.300003,170.550003,166.910004,169.300003,169.300003,17433800
8/3/2017,169.300003,169.699997,168.25,168.589996,168.589996,10793800
8/4/2017,168.970001,170.059998,168.690002,169.619995,169.619995,10777700
8/7/2017,169.949997,172.059998,169.660004,171.979996,171.979996,12787800
8/8/2017,171.880005,173.050003,170.619995,171.229996,171.229996,14393500
8/9/2017,169.979996,171.449997,169.559998,171.179993,171.179993,10815000
8/10/2017,170.059998,170.589996,166.850006,167.399994,167.399994,20832700
8/11/2017,167.949997,168.820007,166.850006,168.080002,168.080002,13791200
8/14/2017,170.089996,171.080002,169.289993,170.75,170.75,12954200
8/15/2017,171.490005,171.5,170.009995,171,171,8729200
8/16/2017,171.25,171.380005,169.240005,170,170,15779900
8/17/2017,169.339996,169.860001,166.850006,166.910004,166.910004,17216000
8/18/2017,166.839996,168.669998,166.210007,167.410004,167.410004,15093600
8/21/2017,167.160004,168,165.820007,167.779999,167.779999,11907500
8/22/2017,168.279999,169.869995,167.149994,169.639999,169.639999,11391000
8/23/2017,168.839996,169.360001,168.199997,168.710007,168.710007,9856500
8/24/2017,168.880005,169.289993,166.410004,167.740005,167.740005,14030400
8/25/2017,167.860001,168.380005,166.179993,166.320007,166.320007,12614500
8/28/2017,166.910004,167.699997,166.330002,167.240005,167.240005,8553700
8/29/2017,165.25,168.429993,165,168.050003,168.050003,11121000
8/30/2017,168.169998,170.179993,167.630005,169.919998,169.919998,11138300
8/31/2017,170.399994,172.149994,170.059998,171.970001,171.970001,17226500
9/1/2017,172.399994,172.919998,171.309998,172.020004,172.020004,11677600
9/5/2017,171.270004,172.389999,169.550003,170.720001,170.720001,13210900
9/6/2017,170.910004,172.479996,169.570007,172.089996,172.089996,13906300
9/7/2017,171.940002,173.309998,170.270004,173.210007,173.210007,18049500
9/8/2017,173.089996,173.490005,170.800003,170.949997,170.949997,10998500
9/11/2017,172.399994,173.889999,172.199997,173.509995,173.509995,12372000
9/12/2017,173.759995,174,171.75,172.960007,172.960007,11186300
9/13/2017,173.009995,173.169998,172.059998,173.050003,173.050003,9119300
9/14/2017,172.259995,172.279999,170.5,170.960007,170.960007,15615700
9/15/2017,170.880005,172.339996,170.259995,171.639999,171.639999,15660500
9/18/2017,171.990005,172.070007,169.339996,170.009995,170.009995,12954000
9/19/2017,170.619995,172.559998,170.360001,172.520004,172.520004,13168600
9/20/2017,172.5,173.050003,170.699997,172.169998,172.169998,12264100
9/21/2017,171.690002,172.270004,170.009995,171.110001,171.110001,11161400
9/22/2017,170.210007,171.729996,169.220001,170.539993,170.539993,12097100
9/25/2017,169.240005,169.300003,161.559998,162.869995,162.869995,41251600
9/26/2017,164.5,165.5,162.779999,164.210007,164.210007,23363300
9/27/2017,165.899994,168.339996,165.570007,167.679993,167.679993,19242500
9/28/2017,167.940002,169.070007,167.160004,168.729996,168.729996,12178700
9/29/2017,168.830002,171.660004,168.809998,170.869995,170.869995,15340400
10/2/2017,171.389999,171.869995,168.75,169.470001,169.470001,13392300
10/3/2017,169.300003,170.729996,169.199997,169.960007,169.960007,8190300
10/4/2017,169.830002,170.669998,168.289993,168.419998,168.419998,12127900
10/5/2017,169.179993,171.309998,168.600006,171.240005,171.240005,14580600
10/6/2017,170.25,172.369995,169.75,172.229996,172.229996,13124500
10/9/2017,172.699997,174.880005,172,172.5,172.5,14570400
10/10/2017,173,173.199997,170.800003,171.589996,171.589996,11341100
10/11/2017,171.949997,172.779999,171.399994,172.740005,172.740005,11283700
10/12/2017,172.610001,173.850006,172.289993,172.550003,172.550003,10351000
10/13/2017,173.449997,174.649994,173.199997,173.740005,173.740005,13658300
10/16/2017,174.490005,175,174.059998,174.520004,174.520004,11498800
10/17/2017,174.710007,176.130005,174.360001,176.110001,176.110001,15990100
10/18/2017,176.649994,176.740005,175.75,176.029999,176.029999,12752400
10/19/2017,174.929993,176.029999,172.630005,174.559998,174.559998,14048400
10/20/2017,175.5,175.880005,174.630005,174.979996,174.979996,12602200
10/23/2017,175.199997,175.339996,171.25,171.270004,171.270004,13852700
10/24/2017,172.300003,173.240005,171.5,171.800003,171.800003,12267900
10/25/2017,171.899994,172.25,168.889999,170.600006,170.600006,15868200
10/26/2017,171.380005,172.289993,170.389999,170.630005,170.630005,11833100
10/27/2017,174.149994,178.210007,173.899994,177.880005,177.880005,30285300
10/30/2017,179.259995,180.690002,177.610001,179.869995,179.869995,24353200
10/31/2017,180.570007,180.800003,178.940002,180.059998,180.059998,20174200
11/1/2017,182.360001,182.899994,180.570007,182.660004,182.660004,40918300
11/2/2017,180.630005,181.940002,177.339996,178.919998,178.919998,35529900
11/3/2017,179.289993,179.860001,176.710007,178.919998,178.919998,17822100
11/6/2017,178.559998,180.449997,178.309998,180.169998,180.169998,13312700
11/7/2017,180.5,180.75,178.960007,180.25,180.25,12928200
11/8/2017,179.789993,180.350006,179.110001,179.559998,179.559998,10494100
11/9/2017,178.309998,179.399994,177.089996,179.300003,179.300003,12610300
11/10/2017,178.350006,179.100006,177.960007,178.460007,178.460007,11070200
11/13/2017,177.5,179.039993,177.300003,178.770004,178.770004,9523400
11/14/2017,178.130005,178.970001,177.179993,178.070007,178.070007,9585900
11/15/2017,176.660004,178.570007,176.399994,177.949997,177.949997,10253700
11/16/2017,178.759995,179.830002,178.5,179.589996,179.589996,15607600
11/17/2017,179.300003,179.979996,178.899994,179,179,13018000
11/20/2017,178.869995,179.5,178.100006,178.740005,178.740005,10052400
11/21/2017,179.149994,181.889999,178.990005,181.860001,181.860001,14504000
11/22/2017,181.300003,181.729996,180.440002,180.869995,180.869995,10376300
11/24/2017,180.399994,183.149994,180.289993,182.779999,182.779999,9426300
11/27/2017,182.559998,183.729996,181.990005,183.029999,183.029999,12344500
11/28/2017,183.509995,184.25,182.089996,182.419998,182.419998,14379700
11/29/2017,181.889999,181.970001,174,175.130005,175.130005,41933500
11/30/2017,176.850006,178.279999,175.199997,177.179993,177.179993,25307600
12/1/2017,176.029999,177.479996,172.339996,175.100006,175.100006,20182500
12/4/2017,176.289993,176.570007,170.789993,171.470001,171.470001,24459400
12/5/2017,170.449997,175.380005,169.009995,172.830002,172.830002,20184900
12/6/2017,172.5,176.770004,171.899994,176.059998,176.059998,20255800
12/7/2017,175.800003,180.389999,175.800003,180.139999,180.139999,20404500
12/8/2017,181.529999,182.279999,178.740005,179,179,19883800
12/11/2017,179.300003,180.220001,178.800003,179.039993,179.039993,13168600
12/12/2017,178.600006,179.179993,176.600006,176.960007,176.960007,16854100
12/13/2017,177.300003,179.160004,177.25,178.300003,178.300003,14615700
12/14/2017,178.289993,180.360001,177.679993,178.389999,178.389999,13591000
12/15/2017,179.020004,180.490005,178.360001,180.179993,180.179993,28463100
